ID,name,slug,description
Q110157285,Ant Yayınları,ant-yayınları,Ant Yayınları (<a href='https://www.wikidata.org/wiki/Q110157285'>Q110157285</a>) is a publishing company headquartered in Cağaloğlu. It started publishing in 1968.
Q47240439,Ayrıntı Yayınları,ayrıntı-yayınları,Ayrıntı Yayınları (<a href='https://www.wikidata.org/wiki/Q47240439'>Q47240439</a>) is a publishing company headquartered in Istanbul. It started publishing in 1988.
Q6017453,Belge Yayınları,belge-yayınları,Belge Yayınları (<a href='https://www.wikidata.org/wiki/Q6017453'>Q6017453</a>) is a publishing company headquartered in Istanbul. It started publishing in 1977.
Q130467200,Berfin Yayınları,berfin-yayınları,Berfin Yayınları (<a href='https://www.wikidata.org/wiki/Q130467200'>Q130467200</a>) is a publishing company headquartered in Cağaloğlu. It started publishing in 1992.
Q917031,Brill,brill,Brill (<a href='https://www.wikidata.org/wiki/Q917031'>Q917031</a>) is an open-access publisher headquartered in Leiden. It started publishing in 1683.
Q6067595,Can Yayınları,can-yayınları,Can Yayınları (<a href='https://www.wikidata.org/wiki/Q6067595'>Q6067595</a>) is a publishing company headquartered in Istanbul. It started publishing in 1981.
Q130467345,Kora Yayın,kora-yayın,Kora Yayın (<a href='https://www.wikidata.org/wiki/Q130467345'>Q130467345</a>) is a publishing company headquartered in Istanbul. It started publishing in 1994.
Q130487318,May Yayınları,may-yayınları,May Yayınları (<a href='https://www.wikidata.org/wiki/Q130487318'>Q130487318</a>) is a publishing company headquartered in Istanbul. It started publishing in 1965.
Q130466195,Ozan Yayıncılık,ozan-yayıncılık,Ozan Yayıncılık (<a href='https://www.wikidata.org/wiki/Q130466195'>Q130466195</a>) is a publishing company headquartered in Istanbul.
Q106315137,Social History Research Foundation of Turkey,social-history-research-foundation-of-turkey,Social History Research Foundation of Turkey (<a href='https://www.wikidata.org/wiki/Q106315137'>Q106315137</a>) is a foundation headquartered in Meşrutiyet. It started publishing in 1992.
Q130467422,Tarih Vakfı Yurt Yayınları,tarih-vakfı-yurt-yayınları,Tarih Vakfı Yurt Yayınları (<a href='https://www.wikidata.org/wiki/Q130467422'>Q130467422</a>) is a publishing company headquartered in Fatih.
Q130487353,Ütopya Yayınevi,ütopya-yayınevi,Ütopya Yayınevi (<a href='https://www.wikidata.org/wiki/Q130487353'>Q130487353</a>) is a publishing company headquartered in Çankaya.
Q343557,İletişim Yayınları,iletişim-yayınları,İletişim Yayınları (<a href='https://www.wikidata.org/wiki/Q343557'>Q343557</a>) is a book publisher headquartered in Istanbul. It started publishing in 1980.
